english,español
the,el
be,ser
and,y
of,de
a,a
in,en
to,a
have,tener
it,él
I,I
that,eso
for,para
you,tú
he,él
with,con
on,en
do,hacer
say,decir
this,este
they,ellos
at,en
but,pero
we,nosotros
his,su
from,de
that,eso
not,no
by,por
she,ella
or,o
as,como
what,qué
go,ir
their,su
can,poder
who,OMS
get,conseguir
if,si
would,haría
her,su
all,todo
my,mi
make,hacer
about,acerca de
know,saber
will,voluntad
as,como
up,arriba
one,uno
time,tiempo
there,allá
year,año
so,entonces
think,pensar
when,cuando
which,cual
them,a ellos
some,alguno
me,a mí
people,gente
take,llevar
out,afuera
into,en
just,justo
see,ver
him,a él
your,su
come,venir
could,podría
now,ahora
than,que
like,como
other,otro
how,cómo
then,entonces
its,es
our,nuestro
two,dos
more,más
these,estos
want,desear
way,forma
look,mirar
first,primero
also,también
new,nuevo
because,porque
day,día
more,más
use,usar
no,No
man,hombre
find,encontrar
here,aquí
thing,cosa
give,dar
many,muchos
well,Bueno
only,solo
those,aquellos
tell,decir
one,uno
very,muy
her,su
even,incluso
back,atrás
any,cualquier
good,bien
woman,mujer
through,a través de
us,a nosotros
life,vida
child,niño
there,allá
work,trabajar
down,abajo
may,puede
after,después
should,debería
call,llamar
world,mundo
over,encima
school,escuela
still,aún
try,intentar
in,en
as,como
last,último
ask,preguntar
need,necesidad
too,también
feel,sentir
three,tres
when,cuando
state,estado
never,nunca
become,convertirse
between,entre
high,alto
really,en realidad
something,algo
most,mayoría
another,otro
much,mucho
family,familia
own,propio
out,afuera
leave,dejar
put,poner
old,viejo
while,mientras
mean,significar
on,en
keep,mantener
student,alumno
why,por qué
let,dejar
great,excelente
same,mismo
big,grande
group,grupo
begin,comenzar
seem,parecer
country,país
help,ayuda
talk,hablar
where,dónde
turn,doblar
problem,problema
every,cada
start,comenzar
hand,mano
might,podría
American,Americano
show,espectáculo
part,parte
about,acerca de
against,contra
place,lugar
over,encima
such,semejante
again,de nuevo
few,pocos
case,caso
most,mayoría
company,compañía
where,dónde
system,sistema
each,cada
right,bien
program,programa
hear,escuchar
so,entonces
during,durante
work,trabajar
play,jugar
government,gobierno
run,correr
small,pequeño
number,número
